Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
34,XG + DNN + KNN,0.8395652173913044,0.8370395059041194,0.8013989521002916,0.7891552198607947,0.8233117483811286,0.85076726342711
35,XG + LR + SVM,0.8395652173913044,0.8401208031778854,0.8062057058190403,0.7793853055900699,0.8426456984273821,0.8375959079283888
36,XG + LR + KNN,0.8430511060259345,0.8420301191707026,0.8067751960355226,0.7898475711819186,0.8361702127659575,0.8478900255754475
37,XG + SVM + KNN,0.8386727688787184,0.8383198654114746,0.8020928562041384,0.7819828717936056,0.8361239592969472,0.8405157715260018
38,DNN + LR + SVM,0.8360717009916094,0.8364656454626254,0.8020917672157035,0.7758692951928245,0.8382978723404255,0.8346334185848253
39,DNN + LR + KNN,0.8343325705568269,0.8325334203986868,0.7950956583594772,0.7795351064436682,0.8230804810360779,0.8419863597612958
40,DNN + SVM + KNN,0.8378184591914568,0.8375739148573398,0.8025562682698542,0.7806529714525107,0.8361239592969472,0.8390238704177323
41,LR + SVM + KNN,0.8404271548436307,0.8408329705610272,0.8057232203455973,0.7823261484188089,0.8425994449583719,0.839066496163683
42,DT + XG + DNN + LR,0.8439206712433256,0.8409751319584263,0.8051396384549732,0.7962205207316394,0.825300647548566,0.8566496163682864
43,DT + XG + DNN + SVM,0.8369565217391305,0.8354906948903521,0.8002216403157252,0.7833304489615246,0.8275670675300647,0.8434143222506394
44,DT + XG + DNN + KNN,0.8369565217391305,0.8338124195098946,0.7968082266556736,0.7875973636620537,0.8168362627197039,0.8507885763000852
45,DT + XG + LR + SVM,0.8378184591914568,0.8379700168689123,0.8029047419990338,0.7794194404787158,0.8383441258094356,0.8375959079283888
46,DT + XG + LR + KNN,0.844797864225782,0.8421083419491756,0.8065611450933533,0.7974317852313244,0.8275670675300647,0.8566496163682864
47,DT + XG + SVM + KNN,0.8430434782608696,0.8416784567666105,0.8061065989212454,0.7907155525207956,0.8339962997224791,0.8493606138107417
48,DT + DNN + LR + SVM,0.8343173150266973,0.8335884076109631,0.797295908942635,0.7762723212452137,0.8296022201665124,0.8375745950554135
49,DT + DNN + LR + KNN,0.8387032799389779,0.8359276087863453,0.7986221830611235,0.7894392158851838,0.82104532839963,0.8508098891730607
50,DT + DNN + SVM + KNN,0.8369565217391305,0.834785556220638,0.7972166886807515,0.7851305947828504,0.823172987974098,0.8463981244671782
51,DT + LR + SVM + KNN,0.8430739893211289,0.8423817815747945,0.8077546734267844,0.789452329051769,0.8383441258094357,0.8464194373401535
52,XG + DNN + LR + SVM,0.8343173150266973,0.833940070015055,0.7978062745547702,0.7750559490700326,0.8317761332099908,0.8361040068201193
53,XG + DNN + LR + KNN,0.8404347826086956,0.8387372802960222,0.8028609736601269,0.7876284344221467,0.8296484736355227,0.8478260869565217
54,XG + DNN + SVM + KNN,0.8369488939740656,0.8351159057517549,0.7988040071505795,0.7840274342060056,0.8253469010175764,0.8448849104859335
55,XG + LR + SVM + KNN,0.8386803966437834,0.8386821842520542,0.8030608212998498,0.7812266709466605,0.8382978723404255,0.839066496163683
56,DNN + LR + SVM + KNN,0.8343020594965674,0.8332136184723659,0.795690479507747,0.7771175663792571,0.8273820536540241,0.8390451832907075
57,DT + XG + DNN + LR + SVM,0.8386727688787186,0.8369274999546535,0.799931308632038,0.7846598714725685,0.8275208140610546,0.8463341858482524
58,DT + XG + DNN + LR + KNN,0.842189168573608,0.8398793328617293,0.8041358219981978,0.7933057696330647,0.8275208140610546,0.8522378516624041
59,DT + XG + DNN + SVM + KNN,0.8343249427917622,0.8336577878144782,0.7981620965857663,0.7787508393785276,0.8297409805735431,0.8375745950554135
60,DT + XG + LR + SVM + KNN,0.8395423340961099,0.8387372802960222,0.8030815372469394,0.784345585929508,0.8339962997224791,0.8434782608695652
61,DT + DNN + LR + SVM + KNN,0.836086956521739,0.83513903248626,0.7991237577036332,0.780755239104679,0.8297409805735431,0.840537084398977
62,XG + DNN + LR + SVM + KNN,0.8378337147215866,0.8369043732201484,0.8011227607515258,0.7825682335545506,0.831822386679001,0.8419863597612958
63,DT + XG + DNN + LR + SVM + KNN,0.8343173150266973,0.833282998675881,0.7963856522329966,0.7780731001090767,0.8275208140610546,0.8390451832907078
