Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
18,Per + KNN,0.8654370489174017,0.8712661641233069,0.8498409103696011,0.8010888411173829,0.9088588588588589,0.8336734693877552
19,LR + SVM,0.8735498529804865,0.8808586443586444,0.8605172365066872,0.8043448409041888,0.9280030030030032,0.8337142857142859
20,LR + KNN,0.8758754343758353,0.8817123858552429,0.8618367005006012,0.8135973870172,0.9196696696696698,0.8437551020408163
21,SVM + KNN,0.8747126436781609,0.8814697554697555,0.8612257502152009,0.8082795917901592,0.9252252252252253,0.8377142857142857
22,ET + Ada + Per,0.8642876236300454,0.8702661641233069,0.8487649610025125,0.7992062276068623,0.9088588588588589,0.8316734693877551
23,ET + Ada + LR,0.8770382250735098,0.8827499233927807,0.8629479252490491,0.8150516438684576,0.9197447447447447,0.8457551020408163
24,ET + Ada + SVM,0.8735632183908046,0.8812475332475331,0.8609830357676671,0.8032023641034461,0.9307807807807809,0.8317142857142859
25,ET + Ada + KNN,0.8758754343758353,0.8821012747441317,0.8621291944012561,0.8126993418035445,0.9224474474474474,0.8417551020408164
26,ET + Per + LR,0.8654370489174017,0.8704883863455292,0.8491120356684275,0.804264553829771,0.9033033033033033,0.8376734693877552
27,ET + Per + SVM,0.8700882117080994,0.8745087945087946,0.853413700823465,0.8118463986521443,0.9033033033033033,0.8457142857142858
28,ET + Per + KNN,0.866586474204758,0.8730064043635473,0.8520568927406333,0.8004253785636763,0.9143393393393394,0.8316734693877551
29,ET + LR + SVM,0.8735498529804865,0.8808586443586444,0.8605172365066872,0.8043448409041888,0.9280030030030032,0.8337142857142859
30,ET + LR + KNN,0.8770382250735098,0.8831012747441317,0.8633404598990975,0.8140851918952489,0.9224474474474477,0.8437551020408163
31,ET + SVM + KNN,0.8747126436781609,0.8811012747441318,0.8609409400886185,0.8097972601682928,0.9224474474474477,0.8397551020408164
32,Ada + Per + LR,0.8642876236300454,0.8702661641233069,0.8487649610025125,0.7992062276068623,0.9088588588588589,0.8316734693877551
33,Ada + Per + SVM,0.86545041432772,0.8712661641233069,0.8498452079160927,0.8009739043745391,0.9088588588588589,0.8336734693877551
34,Ada + Per + KNN,0.8642742582197274,0.8698772752344182,0.848236841512011,0.8006920157205574,0.9060810810810812,0.8336734693877552
35,Ada + LR + SVM,0.8735498529804865,0.8808586443586444,0.8605172365066872,0.8043448409041888,0.9280030030030032,0.8337142857142859
36,Ada + LR + KNN,0.8770382250735098,0.8831012747441317,0.8633404598990975,0.8140851918952489,0.9224474474474477,0.8437551020408163
37,Ada + SVM + KNN,0.8747126436781609,0.8814697554697555,0.8612257502152009,0.8082795917901592,0.9252252252252253,0.8377142857142857
38,Per + LR + SVM,0.8723736968724941,0.879118404118404,0.858781431030333,0.8056795951079119,0.9225225225225226,0.8357142857142857
39,Per + LR + KNN,0.866586474204758,0.8726175154746585,0.8518042673481778,0.8019857215509388,0.9115615615615618,0.8336734693877552
40,Per + SVM + KNN,0.8735364875701684,0.8808586443586444,0.8606242448275754,0.8048330267585074,0.9280030030030032,0.8337142857142859
41,LR + SVM + KNN,0.8723870622828122,0.8791012747441318,0.8585879838623315,0.8055065955543155,0.9224474474474477,0.8357551020408163
42,ET + Ada + Per + LR,0.8654370489174017,0.8704883863455292,0.8491120356684275,0.804264553829771,0.9033033033033033,0.8376734693877552
43,ET + Ada + Per + SVM,0.8700882117080994,0.8745087945087946,0.853413700823465,0.8118463986521443,0.9033033033033033,0.8457142857142858
44,ET + Ada + Per + KNN,0.866586474204758,0.8730064043635473,0.8520568927406333,0.8004253785636763,0.9143393393393394,0.8316734693877551
45,ET + Ada + LR + SVM,0.8735498529804865,0.8808586443586444,0.8605172365066872,0.8043448409041888,0.9280030030030032,0.8337142857142859
