Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
17,DNN + SVM,0.8317238749046529,0.8317822549926538,0.7974035997641831,0.7721945532906125,0.8319148936170213,0.8316496163682864
18,DNN + KNN,0.8395881006864989,0.8383892456149897,0.8022877796279803,0.7856317347620763,0.8319148936170213,0.8448635976129582
19,LR + SVM,0.8413119755911518,0.8456832362917416,0.8136990637273858,0.7697797263568589,0.8684551341350601,0.8229113384484228
20,LR + KNN,0.8395423340961099,0.8390551595291214,0.8032024238835614,0.7816723114060575,0.8361239592969474,0.8419863597612958
21,SVM + KNN,0.8369336384439361,0.8402715804175509,0.8063360901446623,0.7656984056737414,0.8576318223866789,0.8229113384484229
22,RF + XG + DNN,0.8317848970251717,0.8277579764560773,0.7901015823208037,0.7877693297534011,0.8061979648473636,0.8493179880647912
23,RF + XG + LR,0.8465598779557588,0.8442591282581487,0.8086850043132996,0.7998567960060725,0.8318686401480111,0.8566496163682865
24,RF + XG + SVM,0.842196796338673,0.8430068836045056,0.8090457444593053,0.7828500828202192,0.8469472710453285,0.8390664961636828
25,RF + XG + KNN,0.8439130434782609,0.8403162467577225,0.8017745379797965,0.8008097735797474,0.8209990749306197,0.8596334185848253
26,RF + DNN + LR,0.8369717772692601,0.8347767136456803,0.7984955768591327,0.7860784832002642,0.8232192414431083,0.8463341858482523
27,RF + DNN + SVM,0.843058733790999,0.8433229489760752,0.8091060818511153,0.7855689277340131,0.8446808510638298,0.8419650468883205
28,RF + DNN + KNN,0.8334553775743707,0.8304307014202535,0.7926359516972787,0.7854047080962492,0.8145698427382054,0.8462915601023019
29,RF + LR + SVM,0.8395652173913044,0.8418435181658233,0.8086700966639139,0.7736244568653101,0.853422756706753,0.8302642796248934
30,RF + LR + KNN,0.8386727688787184,0.8355990731167584,0.7970058529319322,0.790162008999195,0.8189176688251619,0.8522804774083547
31,RF + SVM + KNN,0.8360564454614797,0.8375081623768843,0.8028320931458067,0.7705078181438199,0.8447733580018502,0.8302429667519181
32,XG + DNN + LR,0.8369641495041952,0.8355031651883695,0.8001020558960343,0.7818918928158265,0.827613320999075,0.8433930093776641
33,XG + DNN + SVM,0.8387109077040428,0.8403835863670167,0.8066738397498753,0.7764440838616259,0.8490749306197966,0.8316922421142371
34,XG + DNN + KNN,0.835255530129672,0.834068173985598,0.7994340194771439,0.7809252452025364,0.8277058279370951,0.8404305200341005
35,XG + LR + SVM,0.8439435545385201,0.8468928551994341,0.8149213193034418,0.7776625655047961,0.8620721554116558,0.8317135549872123
36,XG + LR + KNN,0.8421739130434782,0.8405577170738784,0.803317792187328,0.7913866463178257,0.8317761332099908,0.8493393009377664
37,XG + SVM + KNN,0.838688024408848,0.8407565616440842,0.8071159456434938,0.7730768760735561,0.8512488436632747,0.8302642796248934
38,DNN + LR + SVM,0.8352097635392829,0.8377246920970054,0.8039391299810423,0.768257756208692,0.8511100832562442,0.8243393009377664
39,DNN + LR + KNN,0.8439435545385201,0.8419750231267346,0.8079401677433518,0.7935845437676113,0.8317761332099908,0.8521739130434783
40,DNN + SVM + KNN,0.8404500381388254,0.8425237162395023,0.80925413836695,0.7770298062147909,0.8533765032377427,0.8316709292412616
41,LR + SVM + KNN,0.83605644546148,0.8385275525566378,0.8044523178050224,0.7676768482372577,0.8512025901942646,0.8258525149190111
42,RF + XG + DNN + LR,0.836086956521739,0.8322937639440606,0.7934405961004264,0.7892397090127445,0.8123496762257169,0.8522378516624041
43,RF + XG + DNN + SVM,0.8421967963386727,0.8416163320092146,0.8074894132518156,0.7869736447415019,0.8383903792784458,0.8448422847399829
44,RF + XG + DNN + KNN,0.8448207475209764,0.8428010103208722,0.8078701459195468,0.7956378015582904,0.8319148936170212,0.8536871270247228
45,RF + XG + LR + SVM,0.842196796338673,0.8433585460085977,0.8098112710675286,0.7820748890217695,0.8491211840888067,0.8375959079283888
46,RF + XG + LR + KNN,0.844797864225782,0.8420940577896283,0.8048458294434215,0.7993445847788602,0.8274745605920444,0.8567135549872124
47,RF + XG + SVM + KNN,0.8395575896262395,0.8400976764433803,0.8051018893357785,0.778939648369429,0.8425994449583719,0.8375959079283888
