Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
33,XG + DNN + SVM,0.8361098398169338,0.8364425187281203,0.8032527448397013,0.7777578285181093,0.8382516188714154,0.8346334185848253
34,XG + DNN + KNN,0.8361250953470634,0.8354462552828716,0.800208069079756,0.7826592650782133,0.8318686401480111,0.8390238704177323
35,XG + LR + SVM,0.8404576659038903,0.8421720538354102,0.8091484599497528,0.7787299678734674,0.8512025901942646,0.8331415174765558
36,XG + LR + KNN,0.8448054919908466,0.8441133391376902,0.8090031608517624,0.7916287901125363,0.8403792784458834,0.847847399829497
37,XG + SVM + KNN,0.83605644546148,0.8367497415247319,0.8012795112589632,0.7742026435404886,0.8403792784458834,0.8331202046035806
38,DNN + LR + SVM,0.8291075514874141,0.8303116667573598,0.7943539739133807,0.7660735667774332,0.8362627197039778,0.8243606138107417
39,DNN + LR + KNN,0.8343630816170862,0.8332972828354283,0.7980324675324676,0.7797133737618673,0.827613320999075,0.8389812446717817
40,DNN + SVM + KNN,0.8352097635392829,0.835741007781466,0.8008864973425975,0.776908871503583,0.8382978723404255,0.8331841432225063
41,LR + SVM + KNN,0.8369260106788712,0.8378598247809762,0.8025412373177927,0.7736060892434973,0.8425994449583719,0.8331202046035806
42,ET + XG + DNN + LR,0.8413348588863462,0.8409005369030129,0.8063217442195839,0.7860785627831017,0.8383441258094356,0.84345694799659
43,ET + XG + DNN + SVM,0.8395957284515637,0.8387409080190817,0.8047374682681404,0.7858608033031996,0.8340888066604994,0.8433930093776641
44,ET + XG + DNN + KNN,0.8404652936689552,0.8394050080716837,0.8036165548455358,0.7881303142991783,0.8339037927844588,0.8449062233589087
45,ET + XG + LR + SVM,0.842189168573608,0.8426463786254559,0.8087345388070435,0.7843693150263348,0.8448196114708603,0.8404731457800511
46,ET + XG + LR + KNN,0.8430587337909993,0.8416446735956178,0.8051105845136999,0.7923906153181521,0.833950046253469,0.8493393009377664
47,ET + XG + SVM + KNN,0.8412967200610222,0.8418541746023109,0.8072175973552016,0.7811231106354684,0.84472710453284,0.8389812446717817
48,ET + DNN + LR + SVM,0.8360869565217393,0.836453175164608,0.800902267155692,0.7759643257901484,0.8382516188714153,0.8346547314578003
49,ET + DNN + LR + KNN,0.8317009916094584,0.831396809417569,0.7954379479812136,0.7709895844177198,0.829694727104533,0.8330988917306053
50,ET + DNN + SVM + KNN,0.8360640732265446,0.8360926701855581,0.8004554967517323,0.7761376499112348,0.8361239592969474,0.8360613810741688
51,ET + LR + SVM + KNN,0.836048817696415,0.8367603979612197,0.8006490176714071,0.7723407768416317,0.8403792784458834,0.8331415174765558
52,XG + DNN + LR + SVM,0.8334630053394356,0.8342366363751792,0.7987796752765859,0.7727825392403207,0.8382516188714153,0.8302216538789429
53,XG + DNN + LR + KNN,0.8395575896262395,0.8383429921459795,0.8018412837930023,0.7845172019008915,0.8318223866790009,0.8448635976129582
54,XG + DNN + SVM + KNN,0.8395652173913044,0.8404067131015218,0.8055743561686729,0.7798818837856125,0.8447733580018502,0.8360400682011935
55,XG + LR + SVM + KNN,0.8351868802440885,0.835685911737498,0.8001044957982335,0.773825569634003,0.8382516188714154,0.8331202046035806
56,DNN + LR + SVM + KNN,0.8360717009916094,0.837781602002503,0.8034977883329137,0.7714529081310435,0.846854764107308,0.8287084398976982
57,ET + XG + DNN + LR + SVM,0.8422044241037374,0.8419661805517766,0.8080532770632359,0.7862299987652771,0.8405180388529139,0.8434143222506393
58,ET + XG + DNN + LR + KNN,0.8474218154080854,0.8473528958299325,0.8139166785826243,0.7907672586063901,0.8469010175763181,0.8478047740835464
59,ET + XG + DNN + SVM + KNN,0.8325858123569793,0.8328336144818704,0.7966218224804307,0.7718439683993732,0.8339962997224791,0.8316709292412616
60,ET + XG + LR + SVM + KNN,0.840419527078566,0.8407903448150769,0.8061671074163076,0.7805052641675818,0.8425994449583719,0.8389812446717817
61,ET + DNN + LR + SVM + KNN,0.8395575896262395,0.8397033882933377,0.8045584842880288,0.7815807528882976,0.8404255319148936,0.8389812446717817
62,XG + DNN + LR + SVM + KNN,0.8404347826086956,0.8418435181658233,0.8072878039354198,0.7789823465762727,0.8490749306197966,0.8346121057118498
63,ET + XG + DNN + LR + SVM + KNN,0.8421967963386727,0.8422715894868587,0.807944512923965,0.7852830302649583,0.8425994449583719,0.8419437340153453
